id,name,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,year,rating
0119698,Princess Mononoke,3922,1135,1297,1956,4386,10864,33020,68235,73164,73337,1997,8.4
0169547,American Beauty,11844,4854,6006,9063,18614,43319,121306,245596,260005,219475,1999,8.4
1345836,The Dark Knight Rises,12375,4481,6164,10270,21487,53999,146233,303336,358239,391585,2012,8.4
0051201,Witness for the Prosecution,1393,514,444,650,1542,2998,10480,24765,23588,16666,1957,8.4
0364569,Oldboy,6581,2213,2737,4174,8049,18275,49755,107611,123401,103181,2003,8.4
0090605,Aliens,3967,1801,2508,4396,10145,26270,77756,155667,149646,134860,1986,8.4
0087843,Once Upon a Time in America,2590,1103,1507,2266,4824,11388,32912,67859,67979,66546,1984,8.4
0082096,Das Boot,2787,824,1066,1503,3470,8087,24492,51887,55414,46527,1981,8.4
0033467,Citizen Kane,7501,2916,3643,5232,10271,19526,43549,74589,73656,102725,1941,8.4
0052357,Vertigo,2802,1147,1705,2660,6213,15435,44102,81446,73350,69093,1958,8.3
0053125,North by Northwest,2749,1037,1289,1991,4655,11740,37374,73683,66710,54438,1959,8.3
0112573,Braveheart,8288,3757,5180,8006,17088,39910,110535,215305,218422,218852,1995,8.4
0105236,Reservoir Dogs,6520,2917,3808,5861,12409,32534,105971,234452,224723,144084,1992,8.3
0086190,Star Wars: Episode VI - Return of the Jedi,8128,2582,3533,5529,13714,36872,112965,230758,205189,190059,1983,8.3
0022100,M,3413,786,957,1300,2813,5695,15369,30252,29937,28146,1931,8.4
5311514,Your Name,1049,249,305,488,1252,3350,11109,21908,23972,30410,2016,8.4
5074352,Dangal,3211,506,455,532,1067,2240,8000,18706,23554,37348,2016,8.5
0180093,Requiem for a Dream,9458,4070,5234,7603,14583,31491,81699,164532,180541,162249,2000,8.3
0086879,Amadeus,2867,1105,1561,2657,6134,15198,45238,87510,81176,72895,1984,8.3
0986264,Like Stars on Earth,3375,702,634,848,1694,3425,10614,24810,34086,43889,2007,8.4
0211915,Amélie,10723,3421,4310,6448,12924,29052,77561,145335,159065,167113,2001,8.3
